FeedbackID,Satisfaction Level,Feedback,Follow-up Required,Customer Location ,Ticket ID
3949,3,Heavy feeling happy.,No,British Virgin Islands,8091
14084,7,Lose in PM act focus idea.,No,Gabon,18567
3712,8,Rest mind push according the.,Yes,Palestinian Territory,1537
9920,5,Its pass age.,No,Mali,736
19387,3,Three recent purpose state.,No,Guinea,8958
16288,1,Fund laugh between enter.,Yes,Singapore,1606
3374,3,Huge hundred ready talk.,Yes,South Africa,7955
15444,1,Security upon Republican.,No,Holy See (Vatican City State),15185
2829,5,Best personal myself.,No,Cote d'Ivoire,17956
7685,9,Star ground try since.,No,Lesotho,14665
13689,5,Matter five growth consider.,No,Burundi,8640
481,5,State and field place point.,No,Canada,1882
13657,8,It voice my group industry.,No,Indonesia,4039
13058,8,Five heavy new improve.,No,Mali,17075
6781,6,Republican enter shoulder.,Yes,Kiribati,12426
2756,9,I boy listen space really.,No,Timor-Leste,12392
12140,2,Family listen region.,No,Bangladesh,15749
7659,7,Bag southern particularly.,No,Uzbekistan,16995
9805,5,Others painting region.,No,Cayman Islands,11740
4516,5,All American seven.,No,Congo,1449
16175,7,Reason somebody beat minute.,No,Kazakhstan,4477
1021,9,Well check look lot.,Yes,Saint Lucia,5625
13238,4,Worry baby forward those.,Yes,Czech Republic,1043
15705,2,Feel whole activity reduce.,No,Argentina,6966
1511,7,Shake trial soon eat one Mrs.,No,Kiribati,12227
15895,2,Company resource bring.,No,Greece,18243
17119,9,Cover party ok.,No,Equatorial Guinea,10951
7699,3,Offer support give skill.,No,Afghanistan,13481
6010,4,Why sing into owner.,No,India,17778
16956,9,Media threat of son finish.,No,Uzbekistan,16345
15778,5,Trouble part short listen.,Yes,Ghana,18669
2567,8,Message work month.,No,Peru,11783
16112,7,Rock pass east bed.,No,Nigeria,2849
11631,3,Floor whole get reflect fear.,No,Andorra,18438
11706,1,Or official system early.,No,Montenegro,11080
12144,3,Tv story notice forward.,No,Peru,7613
12592,8,In behind model effort.,No,Niue,18449
11269,1,Strong bit middle act dream.,No,Romania,19128
17312,1,Member point record.,Yes,Argentina,14135
821,1,Theory sport of.,No,Sudan,16758
15029,2,Our hard know animal.,Yes,Paraguay,7914
6478,7,Prove cup example consider.,No,Slovenia,15931
2953,7,Growth thought from.,No,Honduras,14502
6418,8,Strong majority me.,No,Marshall Islands,12916
17870,9,Bed skin decision.,Yes,New Caledonia,4984
13167,3,Grow mean science together.,No,Fiji,16993
1366,6,When reduce reduce.,No,Germany,1723
14312,9,Door place blood sport no.,No,Kuwait,4780
10096,5,Spring many game.,No,Ethiopia,18289
4161,5,Nice herself pretty box.,Yes,United States Virgin Islands,18036
3426,3,American open moment.,No,Nicaragua,4528
16341,7,Doctor sea make view after.,No,Anguilla,9999
5761,8,Low total identify laugh.,No,Trinidad and Tobago,10493
17638,4,Hope them from.,No,Belgium,610
7180,5,Think laugh political spring.,No,Nauru,5992
10276,3,Speak him sure year.,No,Georgia,8350
4706,3,Now ability skill.,No,Spain,17214
