CategoryID,CategoryName
6,Software Issues
16,Hardware Issues
20,Network Connectivity Problems
12,Email Configuration and Troubleshooting
19,Printer and Peripheral Setup/Issues
2,Account Access and Permissions
7,Password Resets
18,Application Errors
8,Virus and Malware Removal
17,Data Backup and Restoration
5,System Performance Degradation
4,Mobile Device Setup and Troubleshooting
11,Software Installation and Updates
15,Security Concerns
9,Training and User Guidance
14,Remote Access Support
10,Licensing and Software Activation
1,System Updates and Patch Management
13,Website Access and Navigation Assistance
3,General Technical Inquiries
