CategoryID,Name
5,Software Issues
6,Hardware Issues
11,Network Connectivity Problems
2,Email Configuration and Troubleshooting
3,#printer and Peripheral Setup/Issues
8,Account Access and Permissions
10,Password Resets
1,Application Errors
19,Virus and Malware Removal
17,Data Backup and Restoration
9,System Performance Degradation
20,Mobile Device Setup and Troubleshooting
7,Software Installation and Updates
12,Security Concerns
13,Training and User Guidance
15,Remote Access Support
16,Licensing and Software Activation
14,System Updates and Patch Management
4,Website Access and Navigation Assistance
18,General Technical Inquiries
