TicketID,Title,Description,Priority,CustomerID,CategoryID
805,Access,Mind but seek.,Medium,2880,12
9893,Troubleshooting,Small cold agreement thus.,Low,539,3
8474,Concern,Follow course week he act.,Medium,1795,1
9458,Help,Agree to nature when doctor.,Medium,1320,16
3924,Help,Food nothing door successful.,Low,2708,17
3013,Performance,Feel civil city.,Low,992,20
1450,Incident,Open range here people often.,Medium,1882,17
998,Problem,Party but head bring.,High,2656,18
8487,Issue,Thousand last each she.,High,2298,12
3426,Request,Hot education find leave yet.,Medium,1199,1
5709,Issue,Hear turn prepare authority.,High,1739,19
7617,Connectivity,Perform unit house cause.,Medium,2970,5
1631,Support,Upon unit office least world.,Low,579,2
2024,Connectivity,If statement direction.,Medium,2209,15
3461,Connectivity,Cell form throughout matter.,High,437,4
9021,Troubleshooting,Man hair hit I answer deep.,Low,779,11
4525,Performance,Point need window buy.,High,2110,8
4290,Help,Size ok travel worker.,Medium,1259,15
6945,IT,At list test least.,Low,1422,16
6430,Access,Rock think this wind.,Medium,484,17
6389,Installation,Maybe point be type guy base.,High,1815,18
7338,Issue,History majority last blue.,Medium,2162,15
4576,Troubleshooting,Value modern commercial.,Low,696,8
3170,Incident,Heavy conference either dark.,Low,1311,15
5624,Request,Movie room we learn.,High,1267,6
2007,Help,Office how mention happy.,Medium,2975,6
4869,Assistance,Hundred give hotel unit.,Medium,2784,11
7382,Help,Stop break not spend.,Low,762,8
7584,Installation,Later line main artist.,High,818,20
7922,Problem,Military chair hit.,Low,2233,20
8595,Assistance,Body loss others plant.,Low,540,6
609,Issue,Skill give middle certainly.,Low,1931,14
6219,Installation,Middle think little general.,High,1372,16
1121,Configuration,Begin move feel pull.,High,710,13
6206,Performance,Specific food read marriage.,Low,2150,20
4076,Setup,Federal must evidence agree.,Medium,2843,9
9478,Assistance,Dog will during.,Medium,739,17
8428,Incident,Attorney plan college truth.,Medium,2984,3
131,Problem,Admit grow board inside.,Low,2301,1
218,Support,Six soon race western ball.,Medium,2632,14
5655,IT,Attention interesting staff.,Low,587,16
7177,IT,Class there agree state.,Low,810,12
4927,Help,Its environment be board.,Low,2582,14
5840,Help,Send history dog.,Low,17,2
7316,Issue,Gun more we nature.,Medium,2536,2
9926,Setup,Win democratic what pay.,Medium,2069,1
7476,Technical,Not start read very lay.,Medium,874,6
5285,Request,Dark she say put must.,Medium,2072,17
9428,IT,Full officer enter easy.,Medium,2215,14
1008,Problem,Various discuss might.,Low,650,14
420,Technical,Accept citizen woman day.,Medium,1914,13
2667,Problem,Total or actually table find.,Low,1192,13
3322,Maintenance,Hot able our rise green rate.,Low,2031,16
1232,Inquiry,Visit must center under.,High,2558,11
3415,Request,Four him building.,High,1527,11
7071,Maintenance,Bank three raise.,High,2646,10
8151,Request,Capital argue loss tell.,Low,2141,7
9205,Error,Food quickly thousand life.,High,1568,3
8499,Inquiry,Fear for mission popular.,Low,607,11
2593,Technical,No door society bed south.,Low,1840,4
3378,Access,Color this around during.,High,2560,20
8461,Access,Year allow mean service.,Medium,176,12
946,Assistance,Speak century radio.,Medium,170,17
9628,Maintenance,Skin around choose act.,High,593,4
3577,Connectivity,Mrs agent cover.,Low,716,3
8344,Incident,Seven person might reach.,High,574,5
1735,Setup,Only meeting fund.,Low,352,15
284,Error,Foot improve possible series.,Medium,347,19
1903,Installation,Anything market industry ask.,Low,469,11
9217,Configuration,Food just Mr method.,Medium,2448,6
3649,Setup,Training fall throughout TV.,Low,1419,10
1219,Configuration,Hour guess piece only.,High,933,11
1999,Assistance,Tend foreign feeling.,Low,2068,3
7734,Connectivity,Edge security recognize fine.,Low,583,12
6963,Assistance,Simple read weight.,Low,865,13
3898,Connectivity,Begin real station learn.,High,924,15
4213,Concern,Change cover class.,Low,743,10
1831,Support,Stage lawyer memory plant.,High,1016,14
6776,Setup,Us seven another factor.,High,997,20
8315,Error,Fund ahead read.,High,1043,5
2471,Setup,Agent allow rich action.,Medium,270,8
1194,Maintenance,Well away many move.,Medium,2113,11
5852,Installation,System brother expert only.,Low,1795,11
6176,Maintenance,Eat nice record just foreign.,Low,46,14
9739,Performance,Son fund process who.,Medium,2629,2
2859,Installation,Image new white along.,Low,831,13
8234,Help,Toward cut fill soldier.,Low,2578,18
600,IT,Drug upon worker argue.,Low,1842,5
161,Inquiry,Young north deal thus.,High,507,8
4762,Request,Defense different check.,High,2443,20
8298,Technical,Interest speak produce fall.,High,1681,1
7651,Help,Join none less firm fire.,Medium,1253,14
5143,Inquiry,Majority pay argue always.,High,2203,12
9035,Incident,Do wife station area.,Low,339,11
147,Assistance,Month entire build.,Low,597,13
7990,Problem,Answer rock risk difficult.,Medium,2445,5
8434,Maintenance,Entire interest popular go.,High,879,2
5955,Issue,Book bring Republican.,High,2083,20
7054,Concern,Through third why age loss.,Medium,961,18
9853,Technical,Yourself beat hope.,Low,507,20
6006,Technical,Great heavy design.,Medium,1837,12
9977,Support,Majority break wonder every.,High,2282,16
5209,Access,Plan knowledge phone.,Low,1087,13
3586,Setup,Thing class could month.,High,2080,12
2051,Problem,Culture behavior sea admit.,High,2711,15
8569,Setup,Unit day station maybe race.,Medium,2791,5
9104,Connectivity,Cup class if.,Medium,1902,8
3112,Inquiry,American training so enjoy.,Medium,94,19
5914,Performance,Term five this success be.,Low,1616,2
8498,Support,Couple draw measure than.,Medium,1897,17
8512,Setup,Seek market add cultural.,High,1127,7
8495,Error,Eight bit only concern.,Medium,2031,4
9087,Configuration,Owner result bed new.,Medium,1199,10
3839,Maintenance,Plant church quite yard move.,High,1854,9
567,Technical,Over civil task Congress.,Medium,1778,7
8915,Incident,World company task develop.,High,97,18
8096,Technical,Seven father around staff.,High,2055,15
4003,Inquiry,Chair hit view.,Medium,885,6
3177,Issue,Hot serve significant easy.,Low,1135,17
4671,Help,Guy indeed chair.,Low,623,8
7026,Inquiry,Program nation wonder.,High,1195,11
3110,Help,Sea yet Republican agent.,Low,1744,13
6921,Technical,Order behind look purpose.,High,2937,20
793,Assistance,Style Democrat shoulder girl.,Medium,1132,2
7402,Technical,Return morning you provide.,Low,370,10
2933,Installation,Seat eight spend.,Low,643,12
9093,Maintenance,Push career carry cold.,Low,736,12
422,Support,Act miss past firm.,High,2320,2
9331,Connectivity,Five capital single least.,Low,1303,9
1330,Request,Want well finally house will.,High,212,15
7199,Error,At why could no produce.,High,959,11
4534,Setup,Whatever risk leg lead.,High,1658,16
3180,Configuration,Enjoy month very class into.,Medium,770,11
7523,Error,Right economic reason system.,High,2958,17
9440,Problem,Them radio drug suffer.,Medium,1451,14
367,Issue,Increase author billion.,Medium,582,17
1431,Help,Director candidate most.,Medium,363,4
4317,Issue,Probably leg put present.,Medium,2298,5
5908,Inquiry,Like peace that pay material.,Medium,1622,5
4379,Maintenance,Word tree current until.,Low,1099,16
8555,Support,Now let find market.,High,2422,16
6257,Error,Drop card also science say.,High,1332,1
5016,Technical,Physical bar player.,Medium,822,6
9689,Performance,Red forget else impact speak.,High,805,19
37,Problem,Special onto whose gas.,High,1084,12
7749,Assistance,Hope law realize.,Medium,2174,13
3675,Connectivity,May lawyer show over.,Medium,1539,1
3901,Help,Month drop this similar race.,High,2173,9
7369,Help,His college key.,Low,425,15
7066,Maintenance,Represent now number.,Medium,562,20
132,Troubleshooting,East cell area real later.,Low,651,18
2011,Installation,Friend score on dark.,Low,768,15
7648,Concern,Ahead lot five of.,High,733,14
1081,Issue,Action cell operation view.,Medium,1051,1
7800,Access,Area marriage sing game.,Medium,2658,4
3223,Connectivity,Bag consumer talk well once.,Medium,306,14
9601,IT,Near score trade me.,Low,290,11
1281,Error,Central couple start learn.,Low,1900,13
6956,Access,Others community think.,High,1539,1
1101,Issue,Run parent security study.,Medium,541,10
2310,Setup,Southern police fish.,Low,1719,10
3419,Maintenance,Line during ten sit.,High,939,12
6751,Setup,Exist heavy perhaps your low.,Medium,2888,11
6777,Concern,Yes see condition.,High,2889,12
8940,Inquiry,Factor project TV network.,Medium,2494,13
868,Connectivity,Indicate raise explain rock.,Low,655,18
4137,Error,Size here soldier lead.,Low,204,13
3806,Maintenance,Building capital field.,Medium,2832,4
3636,Maintenance,Pick trial film heavy.,Low,966,19
1340,Error,Law grow involve heart.,High,1039,15
8522,Concern,Should vote will hand sport.,High,677,16
3183,Incident,Manage size value loss.,Low,2936,10
2052,Installation,Speech lead image.,Medium,1208,9
4017,Help,Her station area people each.,Low,1159,16
6729,Assistance,Arrive win experience ball.,Low,45,9
6806,Technical,Buy prove despite difference.,Medium,62,12
651,Performance,Here citizen parent.,Medium,2384,3
1500,Connectivity,Them fear time but down some.,Low,934,13
4643,Error,Pay past series away.,Medium,2986,20
935,Error,Race pressure toward learn.,High,2460,17
3373,Concern,Yes character teach.,Low,2543,4
7763,Support,Paper fire order evening.,High,445,18
7038,Assistance,Best street general meet we.,Low,849,15
6198,Configuration,He away former draw single.,Medium,231,15
2770,Setup,How agree manage protect.,High,2099,6
8392,Technical,Change shake main food.,Medium,1113,1
8254,Performance,Sit water design.,Low,1982,13
4889,Inquiry,Around note join response.,Medium,742,7
5627,Concern,Executive present all avoid.,High,1719,15
4275,Maintenance,Make may source from catch.,Medium,1666,13
1798,Troubleshooting,Near task maintain him yes.,High,1079,2
7375,Error,Student worry learn exist.,Medium,884,7
1828,Request,At red general.,Medium,1973,15
6759,Problem,Watch film factor water.,High,1662,18
8211,Request,Wrong dinner start.,High,726,12
3416,Performance,Risk indicate clear we just.,Low,387,11
1622,IT,Member more set reveal.,Medium,2429,3
2505,Configuration,Run whom even job.,High,276,2
3368,Installation,Research study action wear.,Low,1938,10
1102,Concern,Boy buy rich degree.,Low,2683,14
5064,IT,Water far down.,Medium,487,18
1642,Incident,East purpose usually woman.,Medium,964,18
3572,Configuration,Happy medical mention state.,Low,727,18
7148,Concern,Garden sea ask more quickly.,High,2974,4
4132,Incident,Painting big today.,Low,2661,8
7641,Help,Rest important ever own at.,Low,2847,9
7393,Technical,Lead go return believe.,High,966,2
6078,Request,Yes though stop happy.,High,378,17
471,Installation,Significant agency eat wife.,Low,740,3
8422,Setup,First among born health out.,Low,2602,1
6748,Setup,General around parent.,Medium,1854,19
927,Configuration,Either protect baby born.,Low,39,11
5942,Concern,It material various.,Low,1074,17
5220,Issue,Eat more enough ever job.,Low,2095,12
8942,Installation,Better song cause door great.,High,1886,19
2298,Access,Color seat together.,Low,742,20
6107,Maintenance,Guess trial question.,High,2111,13
5196,Access,Week page hot fear also.,High,1378,15
7445,Technical,Good fly paper.,Low,2407,2
2646,Incident,Agree lead fish best sing.,High,2308,13
4888,Assistance,Structure protect difference.,High,1377,1
4153,Installation,Someone remain husband this.,Low,2332,17
3820,Connectivity,Again everybody whole carry.,Medium,721,20
2288,Maintenance,Assume recently value me.,Medium,2677,4
3657,Performance,Three medical face us.,High,1159,4
5417,Problem,Hour rule nature water mind.,High,168,3
7708,Inquiry,Table risk accept.,Low,2583,18
9167,Setup,Force hundred family.,Low,864,14
5397,Concern,Nature hope develop.,High,2036,4
2973,Inquiry,However hospital reveal set.,High,313,9
2201,Issue,Ahead institution range want.,Low,561,20
1678,Connectivity,Begin magazine simply beat.,Low,2755,19
8866,IT,Option my share.,High,2578,3
231,Assistance,Catch we red.,High,1913,15
740,Maintenance,Official this consumer whose.,Medium,1999,7
5639,Support,Agree who tree full call.,Low,763,6
8150,Incident,Great follow room read.,Low,2018,5
9988,Performance,Produce class six arrive.,High,907,11
9110,Support,Want scene soldier story.,High,258,8
7280,Maintenance,Attorney ability concern.,Medium,2101,6
2071,Concern,Travel throw language tell.,High,468,19
9879,Access,Free a herself article.,Low,1348,6
7638,Assistance,Trial western Mrs.,Medium,2877,19
3490,Problem,Protect people any church.,Low,2940,5
4158,Error,Not somebody ten card.,Low,1126,11
7212,Problem,Race possible image similar.,Medium,1810,9
6519,Maintenance,Audience piece best them.,High,2035,14
2005,Installation,Bag both bed.,Medium,81,14
1920,Error,Plan usually mean.,Low,1233,1
5502,Technical,Just two office agree thing.,High,2276,4
4526,Setup,Soon process try much.,Low,1452,20
5999,Technical,Want structure second place.,Medium,555,9
8190,Setup,Response another east during.,Low,2907,2
5277,Setup,Age vote bit account nature.,Low,2966,10
