ResolutionID,TicketID,EmployeeID,ResolutionType,Escalated,CreationDate,ResponseTime,ResolutionTime,Notes
3258,6206,132,Finished,true,2023-06-09,56,260,Its view nice interest.
19542,12917,387,Finished,false,2023-06-04,57,209,Oil expect fish mean.
759,8196,472,Finished,true,2023-04-08,44,224,Almost child four both.
2433,19406,207,Finished,false,2023-01-20,51,308,Happen west enter.
5710,17543,425,Finished,false,2023-06-15,105,132,Mission major may.
4840,538,35,Finished,false,2023-06-14,105,131,Then window purpose manager.
10377,14158,128,Processing,true,2023-08-31,75,154,Fact official include whose.
8983,13932,415,Finished,false,2023-10-25,40,268,Focus best onto imagine.
6675,16586,36,Processing,true,2023-09-05,81,201,Teacher actually dog drive.
14123,11728,256,Finished,false,2023-03-30,34,265,Buy ok rather do senior home.
19216,6715,138,Finished,false,2023-01-16,39,210,Cold pick night bad process.
8102,19669,223,Finished,false,2023-11-12,61,160,Then site talk have whom.
10206,3428,402,Finished,true,2023-01-14,66,280,Boy skill sea than give.
18650,18152,301,Finished,true,2023-03-15,90,287,Strategy suggest teach.
19774,12730,135,Finished,false,2023-04-01,102,191,Check key pull show.
9746,14389,88,Finished,true,2023-08-26,90,164,Heart major cut lose play.
8116,17053,467,Finished,false,2023-09-28,110,249,Hospital child once instead.
13588,19059,129,Finished,true,2023-04-28,88,238,Ball sea easy state.
885,18777,375,Finished,false,2023-08-13,59,152,Tonight early about fine.
1522,13821,452,Finished,false,2023-05-04,115,122,I north win.
4280,6493,8,Processing,true,2023-04-12,45,230,Might happy know both wrong.
6047,25,187,Processing,false,2023-11-02,88,240,Crime design collection.
5849,17941,231,Finished,false,2023-03-12,55,122,Pretty hour check bag.
7559,7833,180,Processing,true,2023-09-13,79,210,Yard sense own deal.
5785,6591,155,Finished,false,2023-11-13,57,138,Board term assume be.
18862,18399,267,Finished,false,2023-10-22,98,276,Least fish shoulder campaign.
6388,3405,149,Finished,false,2023-06-14,40,174,Now can that hold ten water.
19045,13769,280,Finished,false,2023-03-30,77,205,Deep difference almost start.
16077,7135,43,Finished,false,2023-06-07,61,225,Trip PM energy pretty turn.
4773,4332,305,Finished,true,2023-08-08,31,304,Author collection strong.
4467,8218,488,Finished,false,2023-07-18,116,133,Space write receive.
11209,3841,188,Finished,false,2023-03-14,48,295,Bank rise build.
16123,10466,310,Finished,true,2023-12-21,63,228,Professor huge good draw.
13042,2816,133,Finished,false,2023-05-06,114,206,Without beautiful may.
13548,19829,445,Processing,false,2023-07-15,116,148,Physical always month mind.
10226,20000,393,Processing,false,2023-07-12,50,284,Serve professor career a.
545,13630,392,Finished,false,2023-03-06,36,258,Focus entire move may.
846,12962,312,Processing,true,2023-04-24,112,149,Child last get figure.
19812,12848,360,Finished,false,2023-09-11,89,225,Mind light later.
13610,18010,455,Finished,false,2023-08-19,30,135,These loss as kid within.
19984,6508,25,Finished,false,2023-09-06,38,159,Let fill its item.
10691,5732,69,Finished,false,2023-12-13,97,201,Generation glass she amount.
12000,4689,395,Finished,false,2023-06-19,30,291,Ok heart no sign there.
663,19793,88,Finished,false,2023-11-02,63,127,Third notice eye music.
1845,9666,433,Finished,false,2023-08-07,103,244,Set star industry word loss.
4250,11477,308,Finished,false,2023-12-30,84,253,Direction thing talk sell.
19352,16589,484,Finished,false,2023-11-28,61,157,Traditional next energy bit.
4292,17764,491,Finished,true,2023-02-11,112,228,Series among smile church.
18164,12852,400,Finished,false,2023-06-13,94,269,Drug pretty those left.
9724,7556,455,Finished,true,2023-08-01,82,191,Century lose go worry play.
9075,129,463,Finished,true,2023-05-16,90,258,Detail assume her couple.
12637,5549,188,Finished,false,2023-11-30,58,140,Thus artist identify.
1483,15480,293,Finished,false,2023-09-18,71,216,New these lose.
3854,17502,436,Finished,false,2023-12-20,84,241,Exactly response lose.
3948,15636,6,Finished,true,2023-11-19,82,259,Language eat down onto.
4427,12539,238,Finished,true,2023-08-18,31,240,Stop see run themselves.
7938,10996,455,Finished,false,2023-07-07,42,311,Baby cup on.
6995,18757,396,Finished,false,2023-09-05,89,216,Real single school.
9819,6432,165,Finished,false,2023-03-16,86,151,Check nearly organization.
13725,19507,499,Finished,false,2023-03-04,49,208,Expect professional boy.
4871,17441,500,Finished,false,2023-03-11,58,174,Indeed upon onto foreign.
18170,7352,374,Finished,false,2023-08-18,43,316,A say despite resource.
6819,17410,485,Finished,false,2023-07-08,111,158,Talk few financial all cup.
19677,11399,358,Finished,false,2023-10-02,89,261,Drug you senior.
5264,8245,451,Finished,false,2023-02-06,38,223,Week beat two whom their.
1843,7328,333,Processing,true,2023-02-26,120,277,Mr game compare.
19797,2810,255,Finished,false,2023-01-03,94,317,Manager ground write real.
19684,13196,475,Finished,false,2023-02-22,112,305,Within move week name build.
2726,16373,296,Processing,false,2023-01-31,70,221,Impact size hear.
15713,7761,284,Finished,false,2023-11-17,90,274,Bar affect provide.
9523,6314,401,Finished,false,2023-01-25,65,138,Its say upon.
14181,1333,7,Finished,false,2023-11-17,62,150,Mother ready close view.
14859,19490,249,Processing,true,2023-11-24,75,274,Tax poor Congress mean.
18613,18323,325,Finished,true,2023-03-24,40,167,News method necessary ten.
13679,2250,213,Finished,false,2023-01-06,46,144,There rest choose.
13665,3144,24,Finished,true,2023-11-15,119,314,National onto play kid.
11089,6106,293,Processing,false,2023-03-27,74,291,Market into face crime.
16275,10827,446,Processing,false,2023-06-25,58,208,Particularly car chair.
17669,3299,434,Finished,false,2023-01-20,99,308,Dinner her above.
10659,7115,258,Finished,true,2023-12-06,82,143,Often occur wonder.
17918,9097,475,Finished,false,2023-01-09,45,249,May decide anyone media.
15627,13877,46,Finished,false,2023-04-13,104,222,Coach product say can.
16498,17908,70,Finished,false,2023-10-18,66,286,Very along risk thing.
15570,17899,466,Finished,false,2023-06-26,109,208,Safe look kind particular.
4868,13999,113,Finished,false,2023-02-09,49,158,Wind Mr remember natural.
1978,7635,402,Processing,false,2023-10-24,93,271,Attention ahead mean happy.
11991,1969,42,Finished,false,2023-07-26,73,205,Fine many after fine put.
14038,19958,370,Processing,false,2023-12-12,79,227,School bit fly case single.
7849,6866,251,Finished,false,2023-12-07,70,317,Street discuss picture.
1641,18945,372,Finished,false,2023-01-24,67,310,Area natural news past he.
10640,18985,478,Finished,true,2023-12-28,55,218,Them raise marriage group.
15275,1658,401,Finished,true,2023-10-31,105,139,Record specific hotel pretty.
17853,5378,403,Finished,false,2023-02-18,107,167,Grow card quality.
1477,5250,379,Finished,true,2023-11-02,67,288,Bank for home.
4524,16343,224,Processing,false,2023-01-04,58,232,Example election sing.
604,17385,289,Finished,true,2023-08-31,101,318,Sell participant picture cut.
11581,8065,246,Finished,false,2023-01-05,37,171,Eye better grow myself be.
8845,759,421,Finished,true,2023-01-06,65,316,Run moment your or authority.
9799,19277,494,Finished,false,2023-05-16,51,219,Thousand positive approach.
1567,8592,387,Finished,false,2023-06-06,50,284,Product ball account east.
12845,17267,17,Processing,false,2023-06-11,83,292,Public land maintain.
19669,4844,386,Processing,false,2023-10-24,75,295,Turn focus must visit again.
4434,1270,366,Finished,false,2023-02-15,50,307,Learn political learn score.
11950,17112,432,Finished,false,2023-02-06,68,262,Drug despite weight crime.
15681,5901,121,Finished,false,2023-07-18,90,153,Medical somebody official.
5352,11030,74,Finished,false,2023-01-05,90,293,System group study plan.
9730,13489,112,Finished,true,2023-10-17,114,289,Know about lawyer term.
8776,11922,361,Finished,false,2023-02-08,100,214,About determine black risk.
19656,6632,438,Finished,false,2023-10-19,46,254,Left tree finish meet small.
15437,6055,243,Finished,false,2023-12-13,41,196,Green west agency.
8304,5735,343,Finished,false,2023-07-09,88,215,Party account turn common.
6918,16915,481,Processing,false,2023-06-07,48,297,Dark form land box.
4386,6424,358,Processing,false,2023-06-14,83,213,Occur part wonder.
15778,6288,207,Processing,true,2023-07-17,101,228,Military south bill.
5711,10682,52,Finished,true,2023-01-15,53,227,Our these expert work.
11347,13092,367,Finished,false,2023-09-16,67,244,Common well child wish party.
18567,13288,329,Finished,true,2023-06-11,102,254,As old old charge tax.
3465,4536,475,Finished,true,2023-07-20,57,152,Staff story become method.
5945,6440,446,Finished,false,2023-10-30,48,270,Car others direction save.
2919,12345,485,Processing,false,2023-02-13,67,195,Today upon loss west account.
356,5604,473,Finished,true,2023-04-19,30,188,Animal decide help week.
1443,10436,64,Finished,false,2023-06-07,65,263,Check capital agency.
109,8376,219,Finished,false,2023-07-21,88,121,Nothing require one at.
454,2180,226,Finished,true,2023-02-17,89,148,Learn agree property it.
11834,9684,25,Finished,true,2023-12-03,79,191,Bad in site though.
11746,3281,108,Finished,false,2023-10-11,51,282,Not region sound list them.
17206,6774,96,Finished,true,2023-12-14,66,297,Energy plant describe.
8843,9910,381,Finished,false,2023-03-25,34,126,Job check bad step.
3363,8538,75,Finished,true,2023-08-27,62,225,Too law have security.
13480,6255,400,Finished,true,2023-07-14,91,149,Apply mission box always.
19631,15733,383,Finished,false,2023-03-06,71,151,Themselves skill baby whom.
10163,276,320,Finished,false,2023-08-20,73,241,Bar difficult future memory.
3733,15966,39,Finished,false,2023-08-28,38,305,Pay ask bag finally response.
453,32,260,Finished,false,2023-12-07,48,226,Year positive color high.
9427,10309,496,Finished,false,2023-11-10,42,242,Kid adult rich blood.
11525,9624,117,Finished,false,2023-10-27,72,219,Have line yard grow.
14033,4785,361,Finished,true,2023-01-22,57,138,Pretty record even.
14577,7027,264,Finished,false,2023-06-18,80,228,Him citizen mouth.
10155,4724,227,Finished,false,2023-07-12,106,304,Garden three skill peace.
1285,223,195,Finished,false,2023-11-21,56,218,Hope lot million live.
15792,19919,201,Finished,true,2023-06-15,119,235,Could event travel all.
8386,14387,434,Processing,false,2023-11-01,117,236,They head hospital place.
12595,14774,393,Finished,false,2023-01-18,40,144,Hot analysis only option.
14488,9116,119,Finished,true,2023-10-29,84,270,Seat something thus pass.
7830,18759,460,Finished,true,2023-07-07,82,167,Sister around mother along.
11494,13306,214,Finished,false,2023-03-24,60,128,Reach really clear house.
8111,16000,457,Finished,false,2023-03-22,120,142,Parent speak society.
857,2723,482,Processing,true,2023-09-14,57,280,Man win leg business article.
15330,7084,123,Finished,true,2023-01-29,32,140,Must strong range make.
4928,853,104,Finished,false,2023-12-26,68,259,Nor on become arrive.
9759,3892,116,Finished,false,2023-03-27,65,271,Site decision evening site.
4052,12513,23,Processing,true,2023-12-13,46,275,Baby forget mother itself.
18422,19113,371,Finished,false,2023-10-05,82,287,Message today human throw.
8609,15170,325,Processing,false,2023-04-28,83,264,Off nor most.
5653,2389,417,Finished,false,2023-10-25,109,289,Leg fact feel.
5298,5460,226,Processing,false,2023-08-16,62,280,Share church job forget car.
6518,8939,272,Finished,false,2023-05-05,64,161,Address over respond remain.
12056,9999,163,Processing,false,2023-03-27,117,199,Manager modern wish.
8952,4768,134,Finished,true,2023-02-18,48,213,Really fish executive.
18367,10842,94,Finished,true,2023-04-26,104,247,Evidence health much middle.
13546,6224,418,Finished,false,2023-10-19,60,319,I leg hotel your look safe.
9863,11791,159,Processing,false,2023-10-28,58,193,Land store another.
12543,9750,85,Finished,false,2023-10-03,96,138,Present occur apply let.
187,6229,359,Finished,false,2023-01-26,36,318,School item appear.
7741,10331,234,Processing,false,2023-01-29,42,209,Various recognize system.
18163,15384,400,Finished,false,2023-10-13,76,157,Meet time find practice.
2830,19420,484,Finished,false,2023-08-29,87,121,Most black those true friend.
5769,3286,189,Finished,true,2023-04-25,100,125,Team hot magazine.
13466,10970,177,Processing,true,2023-09-08,93,151,Physical page evening reveal.
5569,17624,127,Processing,false,2023-11-05,42,145,Fish use toward son ok.
228,7499,110,Processing,false,2023-08-17,83,249,At term feel through.
11821,13542,134,Finished,false,2023-02-07,115,206,Study second begin side.
3674,12698,52,Finished,true,2023-07-26,82,149,Paper language girl guy why.
1672,14932,107,Finished,false,2023-07-08,45,121,Trip use talk ago rate place.
19015,12497,471,Finished,true,2023-05-01,33,292,Would happy little direction.
17741,19949,483,Finished,false,2023-10-08,35,304,Large although second only.
12408,15185,222,Processing,false,2023-06-27,67,230,Lawyer success notice factor.
1764,8034,236,Finished,false,2023-12-01,111,244,Agent actually score happy.
4004,14943,496,Finished,false,2023-09-11,55,267,Exist level exist.
9205,15181,173,Finished,true,2023-03-27,36,300,View water school.
12993,4649,141,Finished,false,2023-11-02,76,295,Consider statement week.
17335,2351,360,Finished,false,2023-07-06,98,213,Thought too spring show.
6599,7824,14,Finished,false,2023-07-17,66,167,Add letter answer while.
11039,3071,210,Finished,true,2023-12-20,117,205,Fund state adult.
12531,17229,249,Finished,true,2023-04-30,107,294,Sort beyond hand life.
16591,10164,37,Finished,false,2023-03-22,59,265,Sense program he building.
7100,1515,420,Finished,true,2023-07-21,47,197,Increase activity build fish.
16976,15949,154,Finished,true,2023-09-15,44,232,Hear series able why.
14146,6326,407,Finished,true,2023-02-26,79,255,Behind lawyer doctor bad.
17815,10024,59,Finished,false,2023-09-26,40,316,Until put newspaper.
10324,4537,122,Finished,false,2023-03-04,115,235,Role mind physical next.
8267,10081,137,Finished,false,2023-08-14,108,148,Medical suggest writer radio.
5236,11894,361,Finished,false,2023-01-11,91,157,Gun beat image.
5532,2556,500,Finished,true,2023-03-01,94,122,Crime heart reach drop test.
3453,976,438,Finished,false,2023-05-10,119,221,Parent yet method seek.
16167,9739,168,Finished,true,2023-01-23,101,189,These of whatever job.
10670,602,303,Finished,true,2023-10-23,40,127,Pressure since current pay.
13422,13594,410,Processing,false,2023-08-01,92,244,That community day though.
7005,1603,86,Processing,true,2023-05-01,92,143,Soldier course late physical.
13975,4203,237,Finished,true,2023-07-08,53,210,Billion be various way.
503,16391,233,Finished,false,2023-07-16,76,159,Toward tax tree someone be.
2139,8206,23,Processing,true,2023-04-24,86,181,Compare among everyone.
6962,3677,53,Finished,false,2023-09-26,79,314,Address field each home war.
10925,3168,204,Processing,false,2023-09-04,112,199,Across brother require guy.
15765,8023,472,Finished,true,2023-03-02,82,162,Option great day special.
19279,17740,478,Finished,true,2023-01-01,74,202,Food recent question talk.
33,18695,88,Finished,false,2023-11-03,74,252,Nice each language write.
667,8624,221,Processing,true,2023-05-09,46,223,Drop in attack national.
