TicketID,Title,Description,Priority,CustomerID,CategoryID
10479,Concern,Follow bill mission seek.,Low,1359,12
14267,Connectivity,Effort help kid total detail.,Low,1489,20
19222,Setup,Matter TV director evening.,High,550,19
14113,Request,Ago cut serious series.,High,332,7
14599,Support,Gas hotel its Mrs.,Low,857,17
19999,Support,Option fund major.,Medium,1845,12
18765,Performance,Create pick hotel season.,Medium,122,4
10598,Incident,Plan main amount he.,Medium,1939,18
14012,Support,Why summer foreign part.,High,716,11
17059,Configuration,Improve course page clearly.,Medium,161,20
17018,Setup,Old discover indicate late.,Medium,1531,10
18897,Problem,Recognize try third read.,Medium,1346,9
16324,Help,Conference along ground site.,Medium,1221,6
17012,Performance,Land beat answer help.,High,761,4
15327,Issue,Model expect out.,High,21,14
13250,Performance,Prevent war training.,Medium,1672,2
15035,Issue,Congress north again six can.,High,1587,7
11104,Performance,Eye eight benefit could.,Low,1190,8
15350,Installation,Board someone other future.,Medium,231,11
14930,Help,Wear paper stop debate.,Low,775,9
13045,Error,Behind score benefit it.,Low,1104,4
16009,Access,Deep tonight eight his yet.,Medium,259,6
12068,Inquiry,Always side age cost compare.,Medium,6,15
10328,Connectivity,Federal voice fast cultural.,Low,961,9
17527,Performance,Middle give large fast.,Low,157,9
18481,Setup,New recognize reach spring.,Medium,1778,20
12145,Help,Full season education.,Medium,205,8
13824,Performance,Step product down defense.,High,23,17
13517,IT,Almost old where on.,Low,1983,4
17389,Support,Particularly assume throw.,Low,465,12
17622,Support,Air model great involve.,High,1859,10
13674,Troubleshooting,Discover here fear.,Low,1419,8
13440,Technical,Walk significant affect many.,Medium,1586,4
15946,Issue,Occur early develop Democrat.,Medium,810,8
16719,Technical,Benefit something fact then.,Medium,1921,11
15344,Troubleshooting,Too not difference among.,Low,407,20
14458,Configuration,Move college court school.,Low,1316,7
13169,Installation,Address small stay.,High,1847,1
19211,Help,In walk enjoy bill.,Medium,1226,16
11394,Error,Fight cover because.,Low,428,14
16386,Concern,Again together second.,Medium,658,6
14494,Connectivity,Ever final use me.,Medium,1581,13
13888,Problem,Exist current soon.,Medium,551,9
11599,Assistance,Travel health pay strong.,High,1179,12
19357,Incident,Ground candidate go bank ago.,Low,1407,3
13490,Inquiry,Ok spring west member vote.,High,1006,10
14166,Setup,Determine kind what month.,Medium,1745,19
17565,Issue,Such trip very.,Low,512,17
15091,Connectivity,How ever world.,High,622,14
12093,Problem,Born not similar front young.,Medium,471,10
14430,Support,Himself American about start.,Medium,1317,4
14023,Maintenance,Less president claim stock.,Medium,184,8
14277,Configuration,Middle tend fast reduce.,Medium,1863,20
11376,Error,Head hundred manage once.,Medium,1109,5
16617,Maintenance,Turn serious understand who.,Low,1104,3
16304,IT,Stop door law government.,High,1895,18
13306,Technical,Operation family hard buy.,High,1823,8
16166,Installation,Tree bag me long.,Low,622,7
11470,IT,Wish one effort project.,Medium,450,12
16266,Request,Travel feel order these.,Medium,416,20
19966,Problem,War rest worker stay.,Low,1238,10
19501,Problem,Blood PM more paper trial.,Low,596,17
17689,Technical,Wall new choice.,High,199,15
18670,Incident,Again word cold television.,High,479,9
11338,Troubleshooting,Less this image.,Medium,1742,11
11849,Maintenance,Behavior we student state.,Low,1817,19
16518,Error,Music determine federal ago.,High,1642,10
10849,Troubleshooting,Strategy wait left describe.,High,440,11
16205,Performance,Series live health analysis.,Medium,1971,20
11514,Maintenance,National three week born.,Low,368,6
16798,Error,Up they toward Mr probably.,High,1396,6
13591,Installation,Knowledge fear should should.,High,1417,17
18771,Error,Start week list.,Medium,1741,8
10562,Problem,Current we for down.,High,897,18
11316,IT,Glass as Mr since hot poor.,High,348,18
14854,Error,Keep toward develop.,Medium,1962,17
12178,Connectivity,Six eight able she field.,High,875,15
16122,Help,Show fact hope his.,High,1612,13
17350,IT,Sense indicate over three.,Low,1707,3
18054,Help,Standard many boy tend.,Medium,623,9
11835,Incident,Task fire center.,Medium,521,17
12177,IT,Eat food seem maybe.,Low,1260,15
18657,Configuration,Mission stock little present.,Low,922,10
11864,Technical,Today add door guy.,Low,1756,12
15868,Inquiry,Three number yet.,High,515,14
12647,Support,Last Congress risk father.,Medium,774,13
16737,Request,Center just apply event.,High,1546,1
16601,Maintenance,I year not computer human.,Low,1702,3
16095,IT,Easy least sea.,Low,865,8
10894,Problem,Ask under people rate of.,Medium,1038,19
12038,Support,Career clearly such manager.,Medium,767,10
16013,Issue,Interview them point media.,Low,905,5
12906,Inquiry,Seat until doctor care.,High,913,1
15163,Technical,Message go two author late.,Medium,72,3
11284,Concern,Camera alone stay.,High,388,2
10476,Support,Loss place go bring.,High,1372,2
15366,Performance,Shake design choose.,High,628,2
13988,Error,Officer second could enjoy.,Low,704,8
16563,Access,Hope run sign over space.,High,434,6
18310,Issue,Dark staff scene home.,Medium,390,12
17016,Technical,Tonight alone member.,Low,797,5
10263,Setup,Information coach history.,Medium,1262,10
14883,IT,Fast yard child thank wait.,Medium,1939,3
10013,Assistance,Maintain imagine task cause.,Low,139,6
17746,Inquiry,Cover special try that.,Medium,1493,9
11976,Connectivity,Black say price suffer.,Low,1061,2
13616,Technical,Nor trial down fly.,Medium,403,16
12763,Setup,Draw trial through war.,Medium,1350,5
16813,Support,Sit top professor.,Medium,1140,10
10469,Performance,Front goal visit cell news.,Medium,251,17
12044,Connectivity,Small look avoid.,Medium,1882,16
10280,Troubleshooting,Small better reveal gun.,High,333,1
14605,Issue,Begin along food owner.,High,1680,1
19238,IT,People which eight if.,Low,294,12
15156,Inquiry,Type focus task hot standard.,Low,320,6
10494,Issue,Hotel sit among.,High,1612,9
12254,IT,Another seat take.,Low,1669,14
19786,Connectivity,Film just buy look movie.,Low,528,16
19414,Inquiry,Bed purpose civil.,High,1877,4
14067,Technical,And after risk.,Medium,2,15
11841,Access,Whole senior together.,Medium,1487,5
13532,Issue,Pretty yard possible.,Medium,843,20
12306,Access,Take believe expect now.,High,807,13
18334,Problem,Probably hear peace world.,Medium,517,14
19121,Incident,While media painting option.,High,744,10
19407,Setup,Be only example others yes.,High,1643,13
17287,Concern,Mean forward anything back.,Low,1316,1
12220,Technical,Minute hold participant whom.,Medium,1312,3
10333,Performance,Cell it hair everyone.,Low,1605,5
13234,Connectivity,Sure fly according.,Low,1943,10
14904,IT,Federal laugh visit simple.,High,1382,17
15140,Connectivity,Activity hold hour.,Medium,1925,10
17876,Assistance,Health left war various seek.,Low,1093,2
17662,Help,Learn listen level law.,High,715,4
17198,IT,Seven between wide hope.,High,1290,8
19228,Error,Professor than product.,High,337,20
13924,Incident,Something account kind.,Low,913,19
16921,Concern,Short among some.,Low,1864,4
19019,Performance,Fund front mother.,High,1991,6
17204,Issue,Husband of take.,Low,1628,18
12006,Incident,Trip matter lot PM.,High,202,6
16623,Maintenance,Store himself state network.,Medium,1298,20
19428,Incident,Thousand off general street.,High,1406,4
17771,Configuration,Own type might later player.,Medium,1601,10
17494,IT,Much always he author we.,Low,1496,3
17603,Request,Agency of risk.,High,1160,9
14751,Support,Cost eight center.,Low,1655,15
12403,Concern,Speech truth affect.,Medium,309,19
16151,Setup,Family explain say voice he.,Medium,434,20
15058,Installation,Act compare score.,Medium,116,14
11521,Inquiry,Majority minute able.,High,1955,19
16549,Performance,Him make firm radio support.,Medium,1137,7
19582,Issue,Close and into might.,High,1271,6
15738,Configuration,Around lose try item.,Medium,1066,1
19937,Configuration,Cut fill by establish read.,High,593,14
17538,Concern,Six speech paper.,Medium,1118,20
18485,Configuration,Fight edge store.,Low,577,10
16493,Support,Full list catch black.,Low,722,6
17753,Inquiry,With over agent guess.,High,712,9
16044,Issue,Policy marriage high watch.,High,1498,1
19342,Configuration,Range page idea summer.,Low,1373,20
14506,Technical,Level have eye lawyer.,High,1168,6
15314,Concern,Check recent make natural.,Low,1442,6
19714,Error,Itself bed crime national.,Low,1783,16
17000,Error,White southern second.,High,1213,18
10845,Maintenance,Create say word.,High,1173,10
13551,Access,Let turn key history.,Low,1906,7
12009,Request,History tough say according.,Medium,413,18
18422,Performance,Fall or course.,Medium,970,17
13435,Configuration,Ten on collection can.,Low,595,7
11014,Issue,Day run call about drop.,High,313,18
12649,Inquiry,Road fine decide over whole.,Low,1825,4
19921,Incident,Produce else art.,Medium,1033,1
15540,Assistance,Agent then bank network.,Medium,714,17
11588,Error,House prove medical close.,High,1669,19
13931,Concern,Hear return force.,Low,619,4
11221,Performance,Sport final security tree.,Medium,321,4
10141,Request,Enough tree type health.,Medium,528,17
13526,Concern,Phone these meeting.,High,1515,13
18986,Incident,Body single shake worker.,High,396,3
15846,Request,Your particularly draw.,Medium,1985,9
10307,Error,Time go street.,High,1490,17
14451,IT,Door state sign car.,High,1324,6
14137,Help,Start hope join herself.,Medium,1492,1
17973,Access,Data pattern son fly.,High,1890,20
11799,Concern,Time school space enter.,Low,1386,11
18934,Technical,Body they account learn.,High,420,14
14905,Incident,City paper design he.,Medium,563,16
18214,Troubleshooting,Real serious rather practice.,High,1473,13
11833,Request,Notice family treatment.,Low,1084,6
14821,Incident,Commercial result way.,Medium,1437,20
16443,Setup,Mention factor rule style.,Low,112,15
18808,Maintenance,Former hundred almost south.,Medium,450,3
13066,Technical,Race soon establish both.,Low,1231,5
15793,Assistance,Thought building power.,High,1520,2
17413,Request,Plan natural remember social.,Low,103,2
13367,Support,Base recognize note if his.,Low,1957,9
19511,Connectivity,National show official.,Low,834,13
18101,Error,Claim account listen.,Low,1821,15
19474,Concern,Real forward bed air note.,High,289,19
10326,Configuration,Training high impact drive.,Low,896,3
15721,Inquiry,Plan in number whether.,Low,137,18
17866,Assistance,Have people present serve.,High,649,17
19346,Concern,Wonder you blood teacher PM.,Low,1493,12
14377,Support,Gas positive carry learn.,Medium,1220,19
10861,Maintenance,Owner me even baby.,Low,124,18
19605,Maintenance,Fine agree story.,High,632,2
15062,Configuration,Remember include feel degree.,High,1797,14
18327,Setup,Do physical American work.,Medium,441,5
10387,Support,Pm back drop go.,Medium,981,4
10211,Technical,Serve away Congress painting.,Medium,751,5
16756,Setup,Long both senior get special.,Medium,1972,12
11311,Maintenance,Identify chair blood in.,Low,1022,8
19293,Technical,Exactly range again should.,High,294,17
10907,Incident,Tree couple owner.,High,960,8
19873,Performance,That she artist free.,High,485,8
16453,Configuration,Beyond police matter.,Low,1532,5
15551,Performance,Company certainly plan.,Medium,1143,12
16485,Request,Actually important special.,Low,928,17
16867,Concern,Meeting health moment be.,Low,1738,4
14041,Concern,Run work table wife.,Low,1417,20
11202,Configuration,Last drop yes seven defense.,Low,180,4
10701,Assistance,Theory hit three.,Low,1975,20
13604,Technical,For list free treatment.,High,1991,1
15872,Maintenance,School have hand night.,Low,370,13
11054,Request,Life ask as level.,High,631,19
14024,Incident,Research give go sister ago.,Low,1420,5
15892,Request,Coach quality police sing.,Medium,284,14
14071,Performance,Adult rather finish thousand.,High,987,8
15487,Support,Word time nor.,Low,135,19
