FeedbackID,Satisfaction Level,Feedback,Follow-up Required,Customer Location ,Ticket ID
18,4,Camera today series.,No,Belgium,20
17,7,Maybe easy author glass.,No,Nepal,16
16,1,Guy can away sing threat.,No,Guinea-Bissau,19
15,3,Impact vote onto like.,No,Gambia,15
12,3,Door sense claim how reach.,No,Saint Barthelemy,18
19,1,Expert a government space.,No,Poland,13
13,9,View situation manage theory.,No,Slovenia,17
20,2,Young four senior different.,No,Trinidad and Tobago,12
11,9,Until executive although.,No,Taiwan,11
14,4,With sport voice wait cup.,No,Saudi Arabia,14
