CategoryID,Name
19,Software Issues
16,Hardware Issues
1,Network Connectivity Problems
3,Email Configuration and Troubleshooting
12,Printer and Peripheral Setup/Issues
2,Account Access and Permissions
13,Password Resets
5,Application Errors
20,Virus and Malware Removal
11,Data Backup and Restoration
6,System Performance Degradation
8,Mobile Device Setup and Troubleshooting
4,Software Installation and Updates
14,Security Concerns
18,Training and User Guidance
7,Remote Access Support
15,Licensing and Software Activation
10,System Updates and Patch Management
17,Website Access and Navigation Assistance
9,General Technical Inquiries
