ResolutionID,TicketID,EmployeeID,ResolutionType,Escalated,CreationDate,ResponseTime,ResolutionTime,Notes
17,15,7,Finished,false,2024-01-03,107,212,Animal decade third.
12,7,5,Finished,false,2024-10-29,40,315,She raise foreign tough.
16,6,3,Processing,false,2024-11-15,56,297,Also mouth for.
13,14,3,Finished,false,2024-09-23,103,297,Successful old anything.
14,10,5,Processing,true,2024-01-06,110,316,Recognize situation share.
15,3,3,Finished,true,2024-11-15,74,172,Night defense stock finally.
11,16,5,Processing,false,2024-04-01,113,216,Station dream people score.
18,8,9,Finished,false,2024-05-14,119,312,Those argue option fire easy.
19,19,3,Processing,true,2024-08-14,57,242,Level ability main fill how.
20,5,6,Finished,true,2024-06-17,55,143,Chance hospital color poor.
