TicketID,Title,Description,Priority,CustomerID,CategoryID
20,Access,North vote kid off will pay.,Low,3,9
13,Assistance,Traditional space without.,Medium,1,16
12,Inquiry,Have already ball plant TV.,High,5,17
14,Error,Through public wind serious.,High,3,15
19,Concern,Position until yes huge.,High,1,4
15,Technical,Practice buy wife evidence.,Low,3,19
17,Issue,Economic specific material.,Medium,0,10
11,Installation,Up occur mouth.,Low,1,10
16,Support,Ago there simple simply.,High,0,16
18,Incident,Prevent candidate of.,Low,6,19
